,id,Loai_cho,Chi_tiet,Gioi_tinh,Tuoi,vacxin
135,9d73e4fb84f6459a91581e3325292ef4,Bichon,chó Bichons Frise,đực,02 tháng,đã tiêm 2 mũi
136,a13b14c1a1ca43d59aee5aeeecd24e23,Phốc Hươu,"chó Phốc hươu (fox hươu, phốc, fox)",đực,02 tháng,chưa
137,c309654ce7b84aac8f93845e674d1fcb,Corgi,chó Corgi Fluffy,02 đực,2 tháng tuổi,đã tiêm 2 mũi
138,c348aebaa3cb4211ac3758e3d3e85f20,Corgi,chó Corgi Fluffy,đực,2 tháng tuổi,chưa
139,03532818039d4d70bc62b42cdd3ab784,Corgi,chó Corgi Fluffy,đực,2 tháng tuổi,chưa
140,08fc28e69de8416ea037fb8cd211b803,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
141,0bc1675f48b64fc9af4bd0e5d880619d,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
142,0d570afd48f84c35b2a0bb8e9949dde0,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
143,0ef10e2d4be74744890bcd472f18b42d,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
144,13d21f4d749f49b39ccbc59eaab6c9d3,Corgi,chó Corgi Pembroke,đực,02 tháng,chưa
145,15976fd893e746a69d89a2698f3e7432,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
146,1a97e11e82454394b27378a083cb59ba,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
147,2054bee2ac104404aa1cd7d45db8a7d6,Corgi,chó Corgi Pembroke,cái,02 tháng,đã tiêm 2 mũi
148,2a57d2ad00c14fc6b98b0934c731f15e,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,đã tiêm 2 mũi
149,34b00f04e9fc455a9ac69a233a2574b9,Corgi,chó Corgi Pembroke,đực,8 tháng,đã tiêm 2 mũi
150,3b7ecaca014942b58e2a8f6f080630e3,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,đã tiêm 2 mũi
151,428dc782ef8f47b9a05cc361b26dc7ef,Alaska,chó Alaska Malamute,đực,02 tháng,chưa
152,49219bfdac8846af88c36d59582ed5aa,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
153,4a250b9b912644df8b7570ce095cb2d3,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
154,4c3cf251432c42a9b5c70a4e65fc7ac5,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,chưa
155,563d0d498c33437da026263dbebd26f4,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,chưa
156,5a036a8a0d9144d5b59cbbcd4ace1f4e,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
157,6398373c96b74d03a6c2c635e5403592,Corgi,chó Corgi Pembroke,đực,02 tháng,đã tiêm 2 mũi
158,67b00176203b40a3976ed6c7d7c156cd,Corgi,chó Corgi Pembroke,đực,02 tháng,chưa
159,6cc0ff80df9449f5a6656d4c54ed2e5f,Corgi,chó Corgi Pembroke,đực,02 tháng,chưa
160,702956f8049a4b02878e4a2ccb23de0a,Alaska,chó Alaska Malamute,đực cái,02 tháng,chưa
161,786712d6818740a8845dad9b4b2c2313,Alaska,chó Alaska Malamute,đực cái,02 tháng,chưa
162,8b7552ce94bd4b138ef164541d3bf776,Corgi,chó Corgi Pembroke,đực,02 tháng,đã tiêm 2 mũi
163,974855f5a7c84199b67edc378520eb52,Labrador,chó Labrador Retriever (Lab),đực,03 tháng,chưa
164,9f2d993c44f846d3b5596355ec9bd366,Labrador,chó Labrador Retriever (Lab),đực,02 tháng,chưa
165,a1dc626afdae4beabc7b66990193fb0f,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
166,a2e1ae16708f495a9d46553b572568f3,Akita Inu,chó Akita Inu Nhật Bản,đực giống,trưởng thành trên 1 tuổi,chưa
167,a89f9f27249349a09e01ced16bef398a,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
168,b3520e97891647b6afab4cc791e5ee12,Husky,chó Husky Sibir,đực,02 tháng,đã tiêm 2 mũi
169,b4ad1d0f65f14bfaad155c5fa1621d08,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực cái,02 tháng,đã tiêm 2 mũi
170,c36f23149c164b00b22e29f33c7c3205,Corgi,chó Corgi Pembroke,đực,02 tháng,đã tiêm 2 mũi
171,c43709d9cae54d5ca145c58a4b7b4886,Labrador,chó Labrador Retriever (Lab),đực,03 tháng,đã tiêm 2 mũi
172,c8e9f21b280740c0ace43bbcc8f2fe30,Alaska,chó Alaska Malamute,đực cái,02 tháng,chưa
173,cda2210075814f2d816382b1cdbb55b9,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
174,db01745b846047e4a75f4a1601f1f0a0,Alaska,chó Alaska Malamute,đực,02 tháng,chưa
175,e242996a9c1a4f8bb6c05e5ff9b064b2,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
176,f15870928c644f20beaa0eef96f1b979,Corgi,chó Corgi Fluffy lông dài,đực,03 tháng,đã tiêm 2 mũi
177,f1b6d6426c0e45f59acbf392f6cd9eab,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
